Order ID,Product ID,Customer ID,Product Name,Category,Region,Date of Sale,Quantity Sold,Unit Price,Discount,Shipping Cost,Payment Method,Customer Name,Customer Email,Customer Address
3328,P249,C165,Levi's 501 Jeans,Shoes,South America,2024-08-02,1,723.3,0.16,9.14,Credit Card,Customer_4,customer_4@email.com,"435 Main St, City, State 41474"
5697,P807,C323,Sony WH-1000XM5 Headphones,Clothing,Asia,2025-01-07,2,296.78,0.08,11.65,PayPal,Customer_98,customer_98@email.com,"864 Main St, City, State 83490"
4138,P584,C116,Sony WH-1000XM5 Headphones,Electronics,South America,2024-04-04,2,124.75,0.15,5.74,Debit Card,Customer_64,customer_64@email.com,"775 Main St, City, State 29533"
3249,P324,C311,Levi's 501 Jeans,Shoes,Europe,2024-02-11,2,1203.6,0.1,5.52,Credit Card,Customer_94,customer_94@email.com,"482 Main St, City, State 26455"
2703,P342,C992,iPhone 15 Pro,Electronics,Asia,2024-11-04,2,1112.17,0.06,29.46,PayPal,Customer_51,customer_51@email.com,"711 Main St, City, State 87145"
3133,P507,C840,Levi's 501 Jeans,Electronics,Asia,2024-07-28,2,912.14,0.12,22.45,PayPal,Customer_51,customer_51@email.com,"912 Main St, City, State 70660"
3775,P281,C656,Levi's 501 Jeans,Shoes,South America,2024-06-09,5,360.79,0.12,15.2,Credit Card,Customer_17,customer_17@email.com,"329 Main St, City, State 54458"
5766,P636,C805,Sony WH-1000XM5 Headphones,Clothing,South America,2024-06-23,1,1308.67,0.13,9.76,Credit Card,Customer_59,customer_59@email.com,"393 Main St, City, State 41038"
3209,P544,C389,iPhone 15 Pro,Electronics,South America,2024-04-17,4,727.26,0.14,8.86,PayPal,Customer_30,customer_30@email.com,"100 Main St, City, State 57741"
1700,P666,C617,Sony WH-1000XM5 Headphones,Shoes,Asia,2024-09-08,1,1032.29,0.07,14.72,Debit Card,Customer_71,customer_71@email.com,"788 Main St, City, State 81360"
4549,P524,C312,Sony WH-1000XM5 Headphones,Shoes,South America,2024-10-24,5,931.37,0.04,21.19,PayPal,Customer_28,customer_28@email.com,"58 Main St, City, State 45682"
9981,P737,C463,UltraBoost Running Shoes,Electronics,Asia,2024-04-14,3,1355.95,0.01,6.46,Credit Card,Customer_75,customer_75@email.com,"508 Main St, City, State 87527"
6747,P375,C673,iPhone 15 Pro,Electronics,South America,2024-11-13,5,464.39,0.15,23.47,Debit Card,Customer_37,customer_37@email.com,"79 Main St, City, State 79429"
2210,P901,C685,iPhone 15 Pro,Clothing,Asia,2024-03-28,3,466.75,0.15,15.87,Credit Card,Customer_66,customer_66@email.com,"158 Main St, City, State 20809"
6312,P167,C558,UltraBoost Running Shoes,Electronics,North America,2024-08-09,2,510.0,0.15,9.18,Debit Card,Customer_72,customer_72@email.com,"529 Main St, City, State 95808"
9707,P414,C303,Levi's 501 Jeans,Electronics,Asia,2024-06-26,3,1429.41,0.03,14.7,PayPal,Customer_80,customer_80@email.com,"352 Main St, City, State 12447"
9510,P561,C821,Levi's 501 Jeans,Shoes,Europe,2024-06-11,1,428.57,0.14,26.71,Debit Card,Customer_57,customer_57@email.com,"930 Main St, City, State 82839"
6655,P572,C303,iPhone 15 Pro,Clothing,Asia,2024-08-02,1,278.33,0.14,22.16,Credit Card,Customer_17,customer_17@email.com,"936 Main St, City, State 15071"
3519,P862,C714,UltraBoost Running Shoes,Electronics,South America,2024-06-27,1,1164.37,0.1,7.49,PayPal,Customer_62,customer_62@email.com,"15 Main St, City, State 37570"
3808,P457,C445,Sony WH-1000XM5 Headphones,Shoes,Europe,2024-06-01,3,851.66,0.02,16.09,Credit Card,Customer_71,customer_71@email.com,"875 Main St, City, State 22870"
9894,P327,C970,UltraBoost Running Shoes,Electronics,North America,2024-06-06,3,599.06,0.14,11.39,Credit Card,Customer_90,customer_90@email.com,"262 Main St, City, State 10076"
3534,P237,C807,Levi's 501 Jeans,Shoes,Europe,2024-05-30,4,1270.52,0.04,16.95,PayPal,Customer_96,customer_96@email.com,"205 Main St, City, State 32266"
7325,P286,C424,iPhone 15 Pro,Clothing,Asia,2024-01-18,5,1211.49,0.04,6.44,Credit Card,Customer_39,customer_39@email.com,"865 Main St, City, State 45830"
4945,P435,C683,UltraBoost Running Shoes,Shoes,North America,2024-08-21,5,570.22,0.16,9.27,Debit Card,Customer_67,customer_67@email.com,"459 Main St, City, State 21682"
4801,P132,C946,UltraBoost Running Shoes,Clothing,Europe,2024-05-01,5,354.44,0.14,20.14,Debit Card,Customer_39,customer_39@email.com,"608 Main St, City, State 61909"
1519,P663,C972,UltraBoost Running Shoes,Electronics,South America,2025-01-01,2,855.6,0.08,14.98,PayPal,Customer_73,customer_73@email.com,"693 Main St, City, State 73827"
6489,P338,C673,UltraBoost Running Shoes,Electronics,South America,2024-05-11,1,1429.51,0.19,18.8,Debit Card,Customer_21,customer_21@email.com,"638 Main St, City, State 29320"
8377,P879,C788,Levi's 501 Jeans,Shoes,North America,2024-02-24,5,694.02,0.14,22.27,PayPal,Customer_37,customer_37@email.com,"919 Main St, City, State 34625"
7259,P398,C187,Levi's 501 Jeans,Shoes,Europe,2024-03-27,2,1458.29,0.12,27.16,Credit Card,Customer_12,customer_12@email.com,"222 Main St, City, State 76539"
2218,P579,C212,UltraBoost Running Shoes,Clothing,Europe,2024-03-26,1,191.97,0.05,6.92,Credit Card,Customer_1,customer_1@email.com,"580 Main St, City, State 63792"
7949,P949,C120,iPhone 15 Pro,Electronics,South America,2024-08-15,3,1149.65,0.02,26.9,Credit Card,Customer_57,customer_57@email.com,"182 Main St, City, State 25906"
3026,P745,C937,iPhone 15 Pro,Shoes,Europe,2024-05-22,5,744.83,0.09,21.84,Credit Card,Customer_52,customer_52@email.com,"336 Main St, City, State 20621"
6182,P954,C284,Levi's 501 Jeans,Shoes,Europe,2024-08-21,1,1479.39,0.15,27.03,PayPal,Customer_3,customer_3@email.com,"624 Main St, City, State 77062"
2700,P348,C170,Sony WH-1000XM5 Headphones,Shoes,Asia,2024-04-10,2,1399.26,0.14,21.11,PayPal,Customer_14,customer_14@email.com,"323 Main St, City, State 11132"
6152,P586,C440,Levi's 501 Jeans,Electronics,Europe,2024-07-01,1,1313.97,0.02,18.3,PayPal,Customer_9,customer_9@email.com,"22 Main St, City, State 66050"
4681,P485,C385,UltraBoost Running Shoes,Electronics,South America,2024-09-11,2,1317.61,0.11,9.44,Debit Card,Customer_15,customer_15@email.com,"762 Main St, City, State 57326"
8886,P572,C480,UltraBoost Running Shoes,Clothing,Europe,2024-11-26,4,1497.0,0.16,7.41,Debit Card,Customer_60,customer_60@email.com,"390 Main St, City, State 91537"
5020,P385,C548,iPhone 15 Pro,Shoes,South America,2024-07-05,4,1105.52,0.01,9.61,PayPal,Customer_28,customer_28@email.com,"892 Main St, City, State 24236"
3528,P120,C379,Sony WH-1000XM5 Headphones,Electronics,North America,2024-04-20,5,1313.58,0.18,12.92,Credit Card,Customer_87,customer_87@email.com,"987 Main St, City, State 83481"
3182,P431,C818,Sony WH-1000XM5 Headphones,Clothing,South America,2025-01-11,2,1015.3,0.07,17.92,Credit Card,Customer_11,customer_11@email.com,"351 Main St, City, State 11931"
8083,P215,C615,UltraBoost Running Shoes,Electronics,South America,2024-06-23,1,777.74,0.2,27.36,Credit Card,Customer_62,customer_62@email.com,"205 Main St, City, State 30991"
6574,P439,C831,Levi's 501 Jeans,Electronics,Europe,2024-04-22,1,251.21,0.15,28.95,PayPal,Customer_39,customer_39@email.com,"130 Main St, City, State 52477"
4629,P945,C681,UltraBoost Running Shoes,Clothing,North America,2024-12-29,3,302.16,0.04,23.83,Debit Card,Customer_95,customer_95@email.com,"176 Main St, City, State 68778"
7295,P123,C843,iPhone 15 Pro,Electronics,Europe,2024-12-30,1,444.91,0.1,6.27,PayPal,Customer_81,customer_81@email.com,"283 Main St, City, State 35150"
9410,P571,C719,Levi's 501 Jeans,Electronics,Asia,2024-10-30,5,746.88,0.17,6.06,Debit Card,Customer_1,customer_1@email.com,"535 Main St, City, State 14385"
2450,P488,C544,Sony WH-1000XM5 Headphones,Shoes,South America,2024-06-24,1,452.57,0.12,6.02,PayPal,Customer_9,customer_9@email.com,"139 Main St, City, State 55792"
8184,P286,C284,Sony WH-1000XM5 Headphones,Clothing,South America,2024-10-14,1,485.33,0.12,17.4,Debit Card,Customer_39,customer_39@email.com,"312 Main St, City, State 54430"
8707,P557,C659,UltraBoost Running Shoes,Shoes,South America,2024-10-06,5,317.83,0.15,5.81,Debit Card,Customer_18,customer_18@email.com,"897 Main St, City, State 64728"
8648,P548,C231,iPhone 15 Pro,Electronics,Europe,2024-01-27,4,1255.28,0.02,27.93,Credit Card,Customer_31,customer_31@email.com,"792 Main St, City, State 28668"
8176,P689,C925,UltraBoost Running Shoes,Electronics,North America,2024-09-25,3,499.33,0.06,7.69,Debit Card,Customer_77,customer_77@email.com,"408 Main St, City, State 88985"
7642,P265,C568,Sony WH-1000XM5 Headphones,Electronics,Europe,2024-08-06,1,322.84,0.12,21.38,PayPal,Customer_69,customer_69@email.com,"784 Main St, City, State 46946"
